,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
79,51.99,6.7,2373,1310720.0,-0.00233589,1.3854972,1.1768172,0.002894438,0.033671062,497.23593,6.0
80,54.53,4.8,2428,1327104.0,-0.0033501387,1.4889406,1.1645962,0.003248282,0.033671062,498.1785,7.0
81,49.68,6.5,2572,1343488.0,-0.004300704,1.5113808,1.1270307,0.003578819,0.042195637,499.1609,7.0
82,51.7,6.8,2669,1359872.0,-0.004058836,1.4267907,1.1239893,0.0040904004,0.053426106,500.28638,8.0
83,53.87,7.5,2710,1376256.0,-0.0037885976,1.5823212,1.1008381,0.0036014875,0.04630534,501.38184,8.0
84,50.69,6.7,2465,1392640.0,-0.0045471196,1.5366831,1.0810856,0.004400377,0.06514486,502.35034,8.0
85,53.37,6.7,2443,1409024.0,-0.002925968,1.4116336,1.1095726,0.003291566,0.040161133,503.29248,6.0
86,53.0,7.1,2417,1425408.0,-0.0038534068,1.5698498,1.103203,0.0035353813,0.047342937,504.22073,8.0
87,49.02,5.4,2421,1441792.0,-0.004569026,1.6622596,1.0900142,0.0034604603,0.043823242,505.1152,8.0
88,50.97,6.5,2591,1458176.0,-0.0029111896,1.5167809,1.1054078,0.0042452733,0.057576496,506.10132,8.0
89,48.83,6.6,2698,1474560.0,-0.003413799,1.5730705,1.1188744,0.0031916432,0.041015625,506.94516,5.0
90,47.53,5.2,2646,1490944.0,-0.004189173,1.5425423,1.1191769,0.0033702988,0.045735676,507.73416,5.0
91,48.04,7.5,2516,1507328.0,-0.0033314077,1.4732237,1.065555,0.00312149,0.040445965,508.60568,7.0
92,51.32,6.5,2458,1523712.0,-0.002159708,1.3621081,1.1045011,0.0046069003,0.0651652,509.47696,8.0
93,53.84,6.4,2431,1540096.0,-0.0025708454,1.3161916,1.103904,0.0033854786,0.04465739,510.35,7.0
94,53.69,6.8,2406,1556480.0,-0.0051114056,1.2691008,1.1251634,0.0038423624,0.05501302,511.21838,8.0
95,49.61,6.7,2592,1572864.0,-0.004265168,1.343428,1.097556,0.004971522,0.069620766,512.1323,7.0
96,55.81,6.4,2698,1589248.0,-0.0043502487,1.3137115,1.2009251,0.0037330864,0.051330566,512.95544,6.0
97,56.0,7.4,2805,1605632.0,-0.0014824923,1.3606552,1.1822197,0.0041147717,0.058654785,513.77075,6.0
98,45.58,7.0,2535,1622016.0,-0.00471478,1.336875,1.2377483,0.004656526,0.07029215,514.5605,5.0
99,53.45,7.6,2479,1638400.0,-0.005812406,1.2074577,1.1913803,0.0047173155,0.071268715,515.517,7.0
