,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
101,58.56,4.9,1591,835584.0,-0.009010805,1.2924001,1.3734074,0.007208169,0.108683266,530.4577,4.9
102,68.34,4.8,1569,843776.0,-0.009848745,1.2935549,1.3743521,0.006643729,0.08992513,531.6109,4.8
103,65.61,6.5,1580,851968.0,-0.009641234,1.1448891,1.3793381,0.007474137,0.11177572,532.9575,6.5
104,65.07,4.7,1568,860160.0,-0.011153051,1.2274066,1.4188843,0.0068683494,0.09879557,534.24286,4.7
105,67.97,7.5,1624,868352.0,-0.0075248103,1.1778301,1.3453101,0.0060370644,0.08068848,535.4368,7.5
106,62.65,5.6,1522,876544.0,-0.007990059,0.9989459,1.3780608,0.006480166,0.09082031,536.47296,5.6
107,91.66,7.0,1556,884736.0,-0.00867444,1.1590816,1.3828549,0.008378982,0.12809245,537.5433,7.0
108,64.97,5.3,1593,892928.0,-0.009617949,1.1958662,1.3744735,0.0067266934,0.0970459,538.67,5.3
109,94.09,6.4,1594,901120.0,-0.008722804,1.0272362,1.4341397,0.008246654,0.12609863,539.6847,6.4
110,72.2,6.1,1571,909312.0,-0.012233239,0.9841861,1.4111398,0.009420059,0.13647461,540.9152,6.1
111,87.85,4.3,1628,917504.0,-0.006790373,1.0378783,1.4425069,0.006838072,0.09720866,542.3162,4.3
112,81.65,6.6,1559,925696.0,-0.008644161,0.95313364,1.48395,0.0073421453,0.110677086,543.5815,6.6
113,72.21,4.7,1565,933888.0,-0.009559968,1.1311421,1.4632443,0.009052097,0.13712566,544.7803,4.7
114,82.4,5.7,1578,942080.0,-0.0092288,0.8849296,1.4963999,0.010168612,0.16068523,546.21625,5.7
115,83.17,4.2,1654,950272.0,-0.005932411,1.1512939,1.4529781,0.007183524,0.102742516,547.63116,4.2
116,60.01,6.6,1547,958464.0,-0.010250398,0.96430284,1.4825524,0.00639262,0.096069336,548.7655,6.6
117,73.66,5.7,1625,966656.0,-0.010964266,1.0986722,1.4362744,0.0070041227,0.0999349,549.8479,5.7
118,64.72,6.1,1604,974848.0,-0.0103962775,1.0710502,1.4530063,0.007929273,0.12011719,551.0971,6.1
119,75.36,3.9,1612,983040.0,-0.011601874,0.9630073,1.4705582,0.008376583,0.12548828,552.28754,3.9
120,72.45,5.4,1599,991232.0,-0.01030016,1.0212184,1.5147122,0.009526769,0.14615886,553.5804,5.4
121,96.7,6.6,1585,999424.0,-0.0092797745,0.8908458,1.526021,0.0069703176,0.10180664,554.7302,6.6
122,95.37,4.0,1590,1007616.0,-0.010874293,1.0941883,1.491886,0.00750215,0.11254883,555.70886,4.0
123,86.02,6.4,1511,1015808.0,-0.009635613,1.0889875,1.5284022,0.0074163224,0.10904948,556.8831,6.4
124,71.76,6.9,1588,1024000.0,-0.007155525,0.78716105,1.5106837,0.006630869,0.10042318,558.31647,6.9
125,97.59,6.0,1551,1032192.0,-0.01166861,0.83697146,1.5453492,0.0071416716,0.10559082,559.773,6.0
126,96.87,5.9,1615,1040384.0,-0.01283864,0.7703621,1.5351452,0.00772515,0.11710612,561.1314,5.9
